item_name,category,store_name,price,quantity,unit_type,unit_price,date_purchased,target_price,notes,organic,grass_fed,freshness,meat_grade,seafood_source,user_id,flagged_for_review,verified,flagged_reason,reviewed_by,reviewed_at
Whole Milk,Dairy,Baseline Average,4.13,1,gallon,4.13,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Eggs,Dairy,Baseline Average,2.8,1,dozen,2.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Butter,Dairy,Baseline Average,5.2,1,lb,5.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Cheddar Cheese,Dairy,Baseline Average,5.9,1,lb,5.9,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Yogurt,Dairy,Baseline Average,1.2,1,cup,1.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Ground Beef,Meat,Baseline Average,6.32,1,lb,6.32,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Ribeye Steak,Meat,Baseline Average,14.5,1,lb,14.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Chicken Breast,Meat,Baseline Average,4.9,1,lb,4.9,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Pork Chops,Meat,Baseline Average,5.2,1,lb,5.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Bacon,Meat,Baseline Average,7.5,1,lb,7.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Salmon Fillet,Seafood,Baseline Average,11.3,1,lb,11.3,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Shrimp,Seafood,Baseline Average,10.8,1,lb,10.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Tilapia,Seafood,Baseline Average,6.9,1,lb,6.9,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Apples,Produce,Baseline Average,1.9,1,lb,1.9,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Bananas,Produce,Baseline Average,0.67,1,lb,0.67,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Oranges,Produce,Baseline Average,1.5,1,lb,1.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Grapes,Produce,Baseline Average,2.7,1,lb,2.7,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Strawberries,Produce,Baseline Average,3.8,1,lb,3.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Blueberries,Produce,Baseline Average,4.5,1,pint,4.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Potatoes,Produce,Baseline Average,1.2,1,lb,1.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Onions,Produce,Baseline Average,1.0,1,lb,1.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Tomatoes,Produce,Baseline Average,2.4,1,lb,2.4,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Lettuce,Produce,Baseline Average,1.8,1,head,1.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Carrots,Produce,Baseline Average,1.1,1,lb,1.1,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Broccoli,Produce,Baseline Average,2.2,1,lb,2.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Spinach,Produce,Baseline Average,3.2,1,lb,3.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Avocado,Produce,Baseline Average,1.6,1,each,1.6,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Rice,Pantry,Baseline Average,2.0,1,lb,2.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Pasta,Pantry,Baseline Average,1.5,1,lb,1.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Bread,Bakery,Baseline Average,3.5,1,loaf,3.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Flour,Pantry,Baseline Average,1.1,1,lb,1.1,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Sugar,Pantry,Baseline Average,1.0,1,lb,1.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Salt,Pantry,Baseline Average,0.6,1,lb,0.6,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Black Pepper,Pantry,Baseline Average,8.0,1,lb,8.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Cooking Oil,Pantry,Baseline Average,6.5,1,qt,6.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Olive Oil,Pantry,Baseline Average,10.5,1,qt,10.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Cereal,Pantry,Baseline Average,4.2,1,box,4.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Oatmeal,Pantry,Baseline Average,3.0,1,lb,3.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Peanut Butter,Pantry,Baseline Average,3.8,1,lb,3.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Jam,Pantry,Baseline Average,4.5,1,jar,4.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Honey,Pantry,Baseline Average,8.0,1,lb,8.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Coffee,Beverage,Baseline Average,14.0,1,lb,14.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Tea,Beverage,Baseline Average,3.5,1,box,3.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Orange Juice,Beverage,Baseline Average,4.8,1,half gallon,4.8,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Soda,Beverage,Baseline Average,2.0,1,2 liter,2.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Bottled Water,Beverage,Baseline Average,1.2,1,gallon,1.2,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Beer,Beverage,Baseline Average,10.0,1,6 pack,10.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Wine,Beverage,Baseline Average,15.0,1,bottle,15.0,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
Frozen Pizza,Frozen,Baseline Average,6.5,1,each,6.5,2025-11-11,,Seeded baseline price — CA/West region avg,,,,,,,False,False,,,
